from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
100,100,friday-56A,friday-57A,4,0
100,100,friday-57A,friday-58A,4,0
100,100,friday-58A,friday-59A,4,0
100,100,friday-59A,friday-60A,4,0
100,100,friday-60A,friday-61A,4,0
100,100,friday-61A,friday-62A,4,0
100,100,friday-62A,friday-63A,4,0
100,100,friday-63A,friday-64A,4,0
100,100,friday-64A,friday-65A,4,0
100,100,friday-65A,friday-66A,4,0
100,100,friday-66A,friday-67A,4,0
100,100,friday-67A,friday-68A,4,0
100,100,friday-1B,friday-2B,4,0
100,100,friday-2B,friday-3B,4,0
100,100,friday-3B,friday-4B,4,0
100,100,friday-4B,friday-5B,4,0
100,100,friday-5B,friday-6B,4,0
100,100,friday-6B,friday-7B,4,0
100,100,friday-7B,friday-8B,4,0
100,100,friday-8B,friday-9B,4,0
100,100,friday-9B,friday-1B,4,0
100,100,friday-10B,friday-11B,4,0
100,100,friday-11B,friday-12B,4,0
100,100,friday-12B,friday-13B,4,0
100,100,friday-13B,friday-14B,4,0
100,100,friday-14B,friday-15B,4,0
100,100,friday-15B,friday-16B,4,0
100,100,friday-16B,friday-17B,4,0
100,100,friday-17B,friday-18B,4,0
100,100,friday-18B,friday-19B,4,0
100,100,friday-19B,friday-20B,4,0
100,100,friday-20B,friday-21B,4,0
100,100,friday-21B,friday-22B,4,0
100,100,friday-22B,friday-23B,4,0
100,100,friday-23B,friday-24B,4,0
100,100,friday-24B,friday-25B,4,0
100,100,friday-25B,friday-26B,4,0
100,100,friday-26B,friday-27B,4,0
100,100,friday-27B,friday-28B,4,0
100,100,friday-28B,friday-29B,4,0
100,100,friday-29B,friday-30B,4,0
100,100,friday-30B,friday-31B,4,0
100,100,friday-31B,friday-32B,4,0
100,100,friday-32B,friday-33B,4,0
100,100,friday-33B,friday-34B,4,0
100,100,friday-34B,friday-35B,4,0
100,100,friday-35B,friday-36B,4,0
100,100,friday-36B,friday-37B,4,0
100,100,friday-37B,friday-38B,4,0
100,100,friday-38B,friday-39B,4,0
100,100,friday-39B,friday-40B,4,0
100,100,friday-40B,friday-41B,4,0
100,100,friday-41B,friday-42B,4,0
100,100,friday-42B,friday-43B,4,0
100,100,friday-43B,friday-44B,4,0
100,100,friday-44B,friday-45B,4,0
100,100,friday-45B,friday-46B,4,0
100,100,friday-46B,friday-47B,4,0
100,100,friday-47B,friday-48B,4,0
100,100,friday-48B,friday-49B,4,0
100,100,friday-49B,friday-50B,4,0
100,100,friday-50B,friday-51B,4,0
100,100,friday-51B,friday-52B,4,0
100,100,friday-52B,friday-53B,4,0
100,100,friday-53B,friday-54B,4,0
100,100,friday-54B,friday-55B,4,0
100,100,friday-55B,friday-56B,4,0
100,100,friday-56B,friday-57B,4,0
100,100,friday-57B,friday-58B,4,0
100,100,friday-58B,friday-59B,4,0
100,100,friday-59B,friday-60B,4,0
100,100,friday-60B,friday-61B,4,0
100,100,friday-61B,friday-62B,4,0
100,100,friday-62B,friday-63B,4,0
100,100,friday-63B,friday-64B,4,0
100,100,friday-64B,friday-65B,4,0
100,100,friday-65B,friday-66B,4,0
100,100,friday-66B,friday-67B,4,0
100,100,saturday-1A,saturday-2A,4,0
100,100,saturday-2A,saturday-3A,4,0
100,100,saturday-3A,saturday-4A,4,0
100,100,saturday-4A,saturday-5A,4,0
100,100,saturday-5A,saturday-6A,4,0
100,100,saturday-6A,saturday-7A,4,0
100,100,saturday-7A,saturday-8A,4,0
100,100,saturday-8A,saturday-9A,4,0
100,100,saturday-9A,saturday-10A,4,0
100,100,saturday-10A,saturday-11A,4,0
100,100,saturday-11A,saturday-12A,4,0
100,100,saturday-12A,saturday-13A,4,0
100,100,saturday-13A,saturday-14A,4,0
100,100,saturday-14A,saturday-15A,4,0
100,100,saturday-15A,saturday-16A,4,0
100,100,saturday-16A,saturday-17A,4,0
100,100,saturday-17A,saturday-18A,4,0
