shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
69683,42.3341493,-83.0421497,156
69683,42.3341807,-83.0421856,157
69683,42.3342561,-83.0422458,158
69683,42.3344909,-83.0423886,159
69683,42.3346075,-83.0424625,160
69683,42.3347043,-83.042524,161
69683,42.3348366,-83.042612,162
69683,42.335177,-83.0428357,163
69683,42.3352518,-83.0428945,164
69683,42.3353253,-83.042973,165
69683,42.3353752,-83.0430541,166
69683,42.3354155,-83.043159,167
69683,42.3354388,-83.0432684,168
69683,42.3354423,-83.0433787,169
69683,42.3354297,-83.0434946,170
69683,42.3354072,-83.0435811,171
69683,42.3353771,-83.0436644,172
69683,42.3350961,-83.0443292,173
69683,42.3348326,-83.044958,174
69683,42.3347941,-83.0450273,175
69683,42.3346551,-83.0452451,176
69683,42.3345921,-83.0453382,177
69683,42.3345499,-83.0453911,178
69683,42.3344859,-83.0454559,179
69683,42.3343782,-83.0455276,180
69683,42.3341826,-83.0456531,181
69683,42.3338565,-83.0459648,182
69683,42.3338188,-83.0460543,183
69683,42.3337649,-83.0461813,184
69683,42.333703,-83.0463271,185
69683,42.3336372,-83.0464761,186
69683,42.3336036,-83.0465908,187
69683,42.3335848,-83.0466575,188
69683,42.3335732,-83.0467421,189
69683,42.3335735,-83.0468177,190
69683,42.3335835,-83.0468933,191
69683,42.3336139,-83.0469794,192
69683,42.3336514,-83.047049,193
69683,42.3336839,-83.0470925,194
69683,42.3337185,-83.0471267,195
69683,42.3344542,-83.0477062,196
69683,42.3346617,-83.0478471,197
69683,42.3348472,-83.0479535,198
69683,42.3353132,-83.0481834,199
69683,42.3354318,-83.0482386,200
69683,42.3355648,-83.0483062,201
69683,42.3357244,-83.0483849,202
69683,42.3358024,-83.0484224,203
69683,42.3358633,-83.0484582,204
69683,42.3359045,-83.0484918,205
69683,42.3359559,-83.0485443,206
69683,42.3359972,-83.048599,207
69683,42.3360737,-83.0487494,208
69683,42.3362513,-83.0491603,209
69683,42.3362952,-83.0492927,210
69683,42.3363117,-83.049409,211
69683,42.3363005,-83.0495247,212
69683,42.3362745,-83.0496232,213
69683,42.3362094,-83.0497332,214
69683,42.336048,-83.0499324,215
69683,42.3360109,-83.0499757,216
69683,42.3359787,-83.0500264,217
69683,42.3359537,-83.0500813,218
69683,42.3359317,-83.0501428,219
69683,42.3358882,-83.0503001,220
69683,42.3358348,-83.0505286,221
69683,42.3358331,-83.0505357,222
69683,42.335805,-83.0506548,223
69683,42.3357413,-83.0509123,224
69683,42.335731,-83.0509667,225
69683,42.3357235,-83.0510112,226
69683,42.3357182,-83.0510717,227
69683,42.3357192,-83.05113,228
69683,42.3357265,-83.0512022,229
69683,42.3357399,-83.0512625,230
69683,42.3357565,-83.0513341,231
69683,42.335819,-83.0515524,232
69683,42.3358375,-83.0516498,233
69683,42.3358381,-83.051753,234
69683,42.3358155,-83.0518713,235
69683,42.335766,-83.0519795,236
69683,42.3357003,-83.0520624,237
69683,42.3353473,-83.0523334,238
69683,42.3352692,-83.0523824,239
69683,42.335187,-83.0524024,240
69683,42.3351017,-83.0523954,241
69683,42.3350374,-83.0523782,242
69683,42.3347134,-83.0521502,243
69683,42.3345903,-83.0520938,244
69683,42.3344986,-83.0520712,245
69683,42.3344114,-83.0520608,246
69683,42.3343353,-83.0520642,247
69683,42.3342115,-83.0520792,248
69683,42.3341148,-83.0520938,249
69683,42.3335799,-83.0521744,250
